-1	6.49306
0	6.93147
1	9.04719
2	12.9588
3	18.7296
4	26.3972
5	35.9861
6	47.5129
7	60.9895
8	76.4245
9	93.8247
10	113.195
11	134.54
12	157.863
13	183.166
14	210.452
15	239.722
16	270.979
17	304.223
18	339.455
19	376.677
20	415.89
21	457.094
22	500.29
23	545.479
24	592.661
25	641.836
26	693.006
27	746.17
28	801.329
29	858.483
30	917.632
31	978.777
32	1041.92
33	1107.05
34	1174.19
35	1243.32
36	1314.44
37	1387.57
38	1462.69
39	1539.81
40	1618.92
41	1700.03
42	1783.14
43	1868.25
44	1955.36
45	2044.46
46	2135.56
47	2228.66
48	2323.76
49	2420.85
50	2519.94
